Ref,Val,Package,PosX,PosY,Rot,Side
"BUZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ",320.244230,-13.335230,0.000000,bottom
"C1","0.1uF","C_0805_2012Metric",376.033375,-4.257750,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",357.584125,-17.719750,-90.000000,bottom
"C3","22pF","C_0805_2012Metric",365.807375,-24.511750,-90.000000,bottom
"C4","22pF","C_0805_2012Metric",373.511875,-22.156250,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",359.965375,-17.719750,-90.000000,bottom
"C6","1uF","C_0805_2012Metric",379.969230,-12.535230,0.000000,bottom
"C7","10uF","C_0805_2012Metric",376.374375,-22.156250,90.000000,bottom
"C8","0.1uF","C_0805_2012Metric",320.595000,-67.686000,-90.000000,bottom
"C9","0.1uF","C_0805_2012Metric",315.261000,-80.894000,-90.000000,bottom
"C10","0.1uF","C_0805_2012Metric",316.785000,-43.556000,-90.000000,bottom
"C11","0.1uF","C_0805_2012Metric",334.719230,-13.185230,0.000000,bottom
"D1","D_Small","D_SOD-123",20.800000,-5.250000,90.000000,bottom
"D2","D_Small","D_SOD-123",22.780000,-33.700000,90.000000,bottom
"D3","D_Small","D_SOD-123",27.600000,-52.400000,90.000000,bottom
"D4","D_Small","D_SOD-123",20.475000,-71.775000,90.000000,bottom
"D5","D_Small","D_SOD-123",20.825000,-90.725000,90.000000,bottom
"D6","D_Small","D_SOD-123",49.500000,-90.825000,90.000000,bottom
"D7","D_Small","D_SOD-123",39.700000,-71.925000,90.000000,bottom
"D8","D_Small","D_SOD-123",53.850000,-52.475000,90.000000,bottom
"D9","D_Small","D_SOD-123",44.530000,-33.800000,90.000000,bottom
"D10","D_Small","D_SOD-123",39.775000,-5.275000,90.000000,bottom
"D12","D_Small","D_SOD-123",82.800000,-5.350000,90.000000,bottom
"D13","D_Small","D_SOD-123",63.280000,-34.350000,90.000000,bottom
"D14","D_Small","D_SOD-123",72.925000,-52.950000,90.000000,bottom
"D15","D_Small","D_SOD-123",59.000000,-71.800000,90.000000,bottom
"D16","D_Small","D_SOD-123",68.275000,-91.150000,90.000000,bottom
"D17","D_Small","D_SOD-123",68.175000,-110.075000,90.000000,bottom
"D18","D_Small","D_SOD-123",86.875000,-90.900000,90.000000,bottom
"D19","D_Small","D_SOD-123",77.800000,-71.575000,90.000000,bottom
"D20","D_Small","D_SOD-123",91.800000,-52.525000,90.000000,bottom
"D21","D_Small","D_SOD-123",82.330000,-34.350000,90.000000,bottom
"D23","D_Small","D_SOD-123",120.700000,-5.500000,90.000000,bottom
"D24","D_Small","D_SOD-123",101.380000,-34.350000,90.000000,bottom
"D25","D_Small","D_SOD-123",111.025000,-52.600000,90.000000,bottom
"D26","D_Small","D_SOD-123",96.700000,-71.575000,90.000000,bottom
"D27","D_Small","D_SOD-123",105.950000,-90.700000,90.000000,bottom
"D28","D_Small","D_SOD-123",87.325000,-109.975000,90.000000,bottom
"D29","D_Small","D_SOD-123",125.125000,-90.975000,90.000000,bottom
"D30","D_Small","D_SOD-123",115.500000,-71.575000,90.000000,bottom
"D31","D_Small","D_SOD-123",129.900000,-52.475000,90.000000,bottom
"D32","D_Small","D_SOD-123",120.430000,-34.350000,90.000000,bottom
"D34","D_Small","D_SOD-123",158.700000,-5.400000,90.000000,bottom
"D35","D_Small","D_SOD-123",139.580000,-34.000000,90.000000,bottom
"D36","D_Small","D_SOD-123",148.950000,-52.475000,90.000000,bottom
"D37","D_Small","D_SOD-123",134.950000,-71.575000,90.000000,bottom
"D38","D_Small","D_SOD-123",144.200000,-90.525000,90.000000,bottom
"D39","D_Small","D_SOD-123",162.975000,-109.975000,90.000000,bottom
"D40","D_Small","D_SOD-123",163.100000,-90.675000,90.000000,bottom
"D41","D_Small","D_SOD-123",153.975000,-71.775000,90.000000,bottom
"D42","D_Small","D_SOD-123",167.850000,-52.225000,90.000000,bottom
"D43","D_Small","D_SOD-123",385.725000,-77.925000,90.000000,bottom
"D44","D_Small","D_SOD-123",158.780000,-33.800000,90.000000,bottom
"D45","D_Small","D_SOD-123",196.300000,-5.300000,90.000000,bottom
"D46","D_Small","D_SOD-123",177.680000,-34.000000,90.000000,bottom
"D47","D_Small","D_SOD-123",186.850000,-52.725000,90.000000,bottom
"D48","D_Small","D_SOD-123",172.775000,-71.900000,90.000000,bottom
"D49","D_Small","D_SOD-123",182.200000,-90.725000,90.000000,bottom
"D50","D_Small","D_SOD-123",182.050000,-110.350000,90.000000,bottom
"D51","D_Small","D_SOD-123",201.325000,-90.900000,90.000000,bottom
"D52","D_Small","D_SOD-123",192.000000,-71.575000,90.000000,bottom
"D53","D_Small","D_SOD-123",205.750000,-52.625000,90.000000,bottom
"D54","D_Small","D_SOD-123",196.730000,-34.000000,90.000000,bottom
