Ref,Val,Package,PosX,PosY,Rot,Side
"H2","MountingHole_Pad","MountingHole_2.7mm_M2.5_Pad",308.475000,-67.125000,0.000000,top
"LED1","WS2812B","WS2812BDual",320.925000,-80.800000,90.000000,top
"LED2","WS2812B","WS2812BDual",320.925000,-60.800000,90.000000,top
"LED3","WS2812B","WS2812BDual",320.925000,-40.800000,90.000000,top
"SW_0_1","MX-NoLED","MX_NEC",206.200000,-40.550000,0.000000,top
"SW_1_1","MX-NoLED","MX_NEC",35.200000,-40.550000,0.000000,top
"SW_2_1","MX-NoLED","MX_NEC",54.200000,-40.550000,0.000000,top
"SW_3_1","MX-NoLED","MX_NEC",73.200000,-40.550000,0.000000,top
"SW_4_1","MX-NoLED","MX_NEC",92.200000,-40.550000,0.000000,top
"SW_5_1","MX-NoLED","MX_NEC",111.200000,-40.550000,0.000000,top
"SW_6_1","MX-NoLED","MX_NEC",130.200000,-40.550000,0.000000,top
"SW_7_1","MX-NoLED","MX_NEC",149.200000,-40.550000,0.000000,top
"SW_8_1","MX-NoLED","MX_NEC",168.200000,-40.550000,0.000000,top
"SW_9_1","MX-NoLED","MX_NEC",187.200000,-40.550000,0.000000,top
"SW_ALT_1","MX-NoLED","MX_NEC",77.720000,-116.650000,0.000000,top
"SW_AMG_1","MX-NoLED","MX_NEC",248.720000,-97.550000,0.000000,top
"SW_AT_1","MX-NoLED","MX_NEC",234.370000,-59.525000,0.000000,top
"SW_A_1","MX-NoLED","MX_NEC",49.220000,-78.550000,0.000000,top
"SW_B_1","MX-NoLED","MX_NEC",134.720000,-97.550000,0.000000,top
"SW_CAPS_1","MX-NoLED","MX_NEC",30.220000,-78.550000,0.000000,top
"SW_CAR_1","MX-NoLED","MX_NEC",244.200000,-40.550000,0.000000,top
"SW_COL_1","MX-NoLED","MX_NEC",239.220000,-78.550000,0.000000,top
"SW_CPY_1","MX-NoLED","MX_NEC",30.220000,-12.050000,0.000000,top
"SW_CTRL_1","MX-NoLED","MX_NEC",11.220000,-78.550000,0.000000,top
"SW_C_1","MX-NoLED","MX_NEC",96.720000,-97.550000,0.000000,top
"SW_DEL_1","MX-NoLED","MX_NEC",284.575000,-40.550000,0.000000,top
"SW_DOWN_1","MX-NoLED","MX_NEC",305.720000,-116.550000,0.000000,top
"SW_D_1","MX-NoLED","MX_NEC",87.220000,-78.550000,0.000000,top
"SW_ED_1","MX-NoLED","MX_NEC",281.970000,-78.550000,0.000000,top
"SW_ESC_1","MX-NoLED","MX_NEC",13.500000,-40.550000,0.000000,top
"SW_ET_1","MX-NoLED","MX_NEC",279.495000,-59.525000,0.000000,top
"SW_E_1","MX-NoLED","MX_NEC",82.370000,-59.525000,0.000000,top
"SW_F1_1","MX-NoLED","MX_NEC",73.020000,-12.050000,0.000000,top
"SW_F2_1","MX-NoLED","MX_NEC",111.020000,-12.050000,0.000000,top
"SW_F3_1","MX-NoLED","MX_NEC",149.020000,-12.050000,0.000000,top
"SW_F4_1","MX-NoLED","MX_NEC",187.020000,-12.050000,0.000000,top
"SW_F5_1","MX-NoLED","MX_NEC",225.020000,-12.050000,0.000000,top
"SW_FC_1","MX-NoLED","MX_NEC",253.370000,-59.525000,0.000000,top
"SW_F_1","MX-NoLED","MX_NEC",106.220000,-78.550000,0.000000,top
"SW_GT_1","MX-NoLED","MX_NEC",210.720000,-97.550000,0.000000,top
"SW_G_1","MX-NoLED","MX_NEC",125.220000,-78.550000,0.000000,top
"SW_H_1","MX-NoLED","MX_NEC",144.220000,-78.550000,0.000000,top
"SW_I_1","MX-NoLED","MX_NEC",177.370000,-59.525000,0.000000,top
"SW_J_1","MX-NoLED","MX_NEC",163.220000,-78.550000,0.000000,top
"SW_KP0_1","MX-NoLED","MX_NEC",338.200000,-116.550000,0.000000,top
"SW_KP1_1","MX-NoLED","MX_NEC",338.200000,-97.550000,0.000000,top
"SW_KP2_1","MX-NoLED","MX_NEC",357.200000,-97.550000,0.000000,top
"SW_KP3_1","MX-NoLED","MX_NEC",376.200000,-97.550000,0.000000,top
"SW_KP4_1","MX-NoLED","MX_NEC",338.200000,-78.550000,0.000000,top
"SW_KP5_1","MX-NoLED","MX_NEC",357.200000,-78.550000,0.000000,top
"SW_KP6_1","MX-NoLED","MX_NEC",376.200000,-78.550000,0.000000,top
"SW_KP7_1","MX-NoLED","MX_NEC",338.200000,-59.550000,0.000000,top
"SW_KP8_1","MX-NoLED","MX_NEC",357.200000,-59.550000,0.000000,top
"SW_KP9_1","MX-NoLED","MX_NEC",376.200000,-59.550000,0.000000,top
"SW_KPCOM_1","MX-NoLED","MX_NEC",357.200000,-116.550000,0.000000,top
"SW_KPDIV_1","MX-NoLED","MX_NEC",395.200000,-40.550000,0.000000,top
"SW_KPENT_1","MX-NoLED","MX_NEC",395.200000,-116.550000,0.000000,top
"SW_KPEQ_1","MX-NoLED","MX_NEC",395.200000,-97.550000,0.000000,top
"SW_KPHELP1","MX-NoLED","MX_NEC",357.200000,-40.550000,0.000000,top
"SW_KPHOME_1","MX-NoLED","MX_NEC",338.200000,-40.550000,0.000000,top
"SW_KPMIN_1","MX-NoLED","MX_NEC",376.200000,-40.550000,0.000000,top
"SW_KPMULT_1","MX-NoLED","MX_NEC",395.200000,-59.550000,0.000000,top
"SW_KPPER_1","MX-NoLED","MX_NEC",376.200000,-116.550000,0.000000,top
"SW_KPPLUS_1","MX-NoLED","MX_NEC",395.200000,-78.550000,0.000000,top
"SW_K_1","MX-NoLED","MX_NEC",182.220000,-78.550000,0.000000,top
"SW_LEFT_1","MX-NoLED","MX_NEC",267.720000,-116.550000,0.000000,top
"SW_LS1_1","MX-NoLED","MX_NEC",11.220000,-97.550000,0.000000,top
"SW_LS2_1","MX-NoLED","MX_NEC",39.720000,-97.550000,0.000000,top
"SW_LT_1","MX-NoLED","MX_NEC",191.720000,-97.550000,0.000000,top
"SW_L_1","MX-NoLED","MX_NEC",201.220000,-78.550000,0.000000,top
"SW_MN_1","MX-NoLED","MX_NEC",225.200000,-40.550000,0.000000,top
"SW_M_1","MX-NoLED","MX_NEC",172.720000,-97.550000,0.000000,top
"SW_N_1","MX-NoLED","MX_NEC",153.720000,-97.550000,0.000000,top
"SW_O_1","MX-NoLED","MX_NEC",196.370000,-59.525000,0.000000,top
"SW_P_1","MX-NoLED","MX_NEC",215.370000,-59.525000,0.000000,top
"SW_Q_1","MX-NoLED","MX_NEC",44.370000,-59.525000,0.000000,top
"SW_RIGHT_1","MX-NoLED","MX_NEC",286.720000,-116.550000,0.000000,top
"SW_RLD_1","MX-NoLED","MX_NEC",286.820000,-12.050000,0.000000,top
"SW_RLU_1","MX-NoLED","MX_NEC",267.820000,-12.050000,0.000000,top
"SW_RSH_1","MX-NoLED","MX_NEC",277.220000,-97.550000,0.000000,top
"SW_RSH_ALIAS_1","MX-NoLED","MX_NEC",286.680000,-97.475000,180.000000,top
"SW_R_1","MX-NoLED","MX_NEC",101.370000,-59.525000,0.000000,top
"SW_SLS_1","MX-NoLED","MX_NEC",229.720000,-97.550000,0.000000,top
"SW_SMI_1","MX-NoLED","MX_NEC",220.220000,-78.550000,0.000000,top
"SW_SP1_1","MX-NoLED","MX_NEC",153.720000,-116.650000,0.000000,top
"SW_SP2_1","MX-NoLED","MX_NEC",172.720000,-116.650000,0.000000,top
"SW_STP_1","MX-NoLED","MX_NEC",11.220000,-12.050000,0.000000,top
"SW_SUP_1","MX-NoLED","MX_NEC",58.720000,-116.650000,0.000000,top
"SW_S_1","MX-NoLED","MX_NEC",68.220000,-78.550000,0.000000,top
"SW_TAB_1","MX-NoLED","MX_NEC",18.245000,-59.525000,0.000000,top
"SW_T_1","MX-NoLED","MX_NEC",120.370000,-59.525000,0.000000,top
"SW_UP_1","MX-NoLED","MX_NEC",305.720000,-97.550000,0.000000,top
"SW_U_1","MX-NoLED","MX_NEC",158.370000,-59.525000,0.000000,top
"SW_V_1","MX-NoLED","MX_NEC",115.720000,-97.550000,0.000000,top
"SW_WE_1","MX-NoLED","MX_NEC",258.220000,-78.550000,0.000000,top
"SW_W_1","MX-NoLED","MX_NEC",63.370000,-59.525000,0.000000,top
"SW_X_1","MX-NoLED","MX_NEC",77.720000,-97.550000,0.000000,top
"SW_YEN_1","MX-NoLED","MX_NEC",263.200000,-40.550000,0.000000,top
"SW_Y_1","MX-NoLED","MX_NEC",139.370000,-59.525000,0.000000,top
"SW_Z_1","MX-NoLED","MX_NEC",58.720000,-97.550000,0.000000,top
